gene,moduleLPV
Mcavernosa05407,0
Mcavernosa05404,0
Mcavernosa05410,0
Mcavernosa05412,0
Mcavernosa05409,0
Mcavernosa05413,0
Mcavernosa05406,0
Mcavernosa05408,0
Mcavernosa05405,0
Mcavernosa05411,0
Mcavernosa05415,0
Mcavernosa05417,0
Mcavernosa05421,0
Mcavernosa05422,0
Mcavernosa05420,0
Mcavernosa05414,0
Mcavernosa05419,0
Mcavernosa05416,0
Mcavernosa05423,0
Mcavernosa05433,0
Mcavernosa05424,0
Mcavernosa05426,0
Mcavernosa05431,0
Mcavernosa05428,0
Mcavernosa05425,0
Mcavernosa05432,0
Mcavernosa05429,0
Mcavernosa05430,0
Mcavernosa05427,0
Mcavernosa05434,0
Mcavernosa05439,0
Mcavernosa05437,0
Mcavernosa05443,0
Mcavernosa05444,0
Mcavernosa05446,0
Mcavernosa05448,0
Mcavernosa05450,0
Mcavernosa05440,0
Mcavernosa05447,0
Mcavernosa05442,0
Mcavernosa05441,0
Mcavernosa05449,0
Mcavernosa05458,0
Mcavernosa05459,0
Mcavernosa05451,0
Mcavernosa05454,0
Mcavernosa05455,0
Mcavernosa05463,0
Mcavernosa05453,0
Mcavernosa05457,0
Mcavernosa05460,0
Mcavernosa05461,0
Mcavernosa05469,0
Mcavernosa05466,0
Mcavernosa05467,0
Mcavernosa05471,0
Mcavernosa05474,0
Mcavernosa05470,0
Mcavernosa05476,0
Mcavernosa05473,0
Mcavernosa05468,0
Mcavernosa05472,0
Mcavernosa05475,0
Mcavernosa05482,0
Mcavernosa05479,0
Mcavernosa05483,0
Mcavernosa05478,0
Mcavernosa05487,0
Mcavernosa05484,0
Mcavernosa05488,0
Mcavernosa05485,0
Mcavernosa05490,0
Mcavernosa05486,0
Mcavernosa05493,0
Mcavernosa05497,0
Mcavernosa05501,0
Mcavernosa05502,0
Mcavernosa05499,0
Mcavernosa05492,0
Mcavernosa05494,0
Mcavernosa05498,0
Mcavernosa05491,0
Mcavernosa05495,0
Mcavernosa05503,0
Mcavernosa05504,0
Mcavernosa05496,0
Mcavernosa05514,0
Mcavernosa05513,0
Mcavernosa05507,0
Mcavernosa05510,0
Mcavernosa05512,0
Mcavernosa05511,0
Mcavernosa05505,0
Mcavernosa05508,0
Mcavernosa05506,0
Mcavernosa05520,0
Mcavernosa05524,0
Mcavernosa05517,0
Mcavernosa05516,0
Mcavernosa05515,0
Mcavernosa05521,0
Mcavernosa05519,0
Mcavernosa05532,0
Mcavernosa05534,0
Mcavernosa05535,0
Mcavernosa05529,0
Mcavernosa05533,0
Mcavernosa05522,0
Mcavernosa05528,0
Mcavernosa05526,0
Mcavernosa05523,0
Mcavernosa05525,0
Mcavernosa05536,0
Mcavernosa05539,0
Mcavernosa05543,0
Mcavernosa05541,0
Mcavernosa05540,0
Mcavernosa05537,0
Mcavernosa05538,0
Mcavernosa05545,0
Mcavernosa05550,0
Mcavernosa05549,0
Mcavernosa05548,0
Mcavernosa05552,0
Mcavernosa05546,0
Mcavernosa05551,0
Mcavernosa05554,0
Mcavernosa05555,0
Mcavernosa05559,0
Mcavernosa05562,0
Mcavernosa05565,0
Mcavernosa05564,0
Mcavernosa05563,0
Mcavernosa05561,0
Mcavernosa05568,0
Mcavernosa05572,0
Mcavernosa05570,0
Mcavernosa05571,0
Mcavernosa05574,0
Mcavernosa05573,0
Mcavernosa05569,0
Mcavernosa05566,0
Mcavernosa05576,0
Mcavernosa05578,0
Mcavernosa05575,0
Mcavernosa05577,0
Mcavernosa05588,0
Mcavernosa05583,0
Mcavernosa05582,0
